task,algorithm,budget,heuristic,sorting,node_count,open_list_count,computational_time,f_S,seed,n
YoutubeCoverage,EfficientBFS,13.0,ub2,d,1,1,0.057999372482299805,20,1,1000
YoutubeCoverage,Efficient,14.0,ub0,d,26851,0,10000.000915527344,21,1,1000
YoutubeCoverage,EfficientBFS,14.0,ub2,d,1,1,0.057999610900878906,21,1,1000
YoutubeCoverage,Efficient,15.0,ub0,d,2,0,0.06400680541992188,22,1,1000
YoutubeCoverage,EfficientBFS,15.0,ub2,d,1,1,0.06899833679199219,22,1,1000
YoutubeCoverage,Efficient,6.0,ub0,d,24593,0,10000.00010752678,16,2,1000
YoutubeCoverage,EfficientBFS,6.0,ub2,d,4,5,0.12199997901916504,16,2,1000
YoutubeCoverage,Efficient,7.0,ub0,d,25157,0,10000.073672533035,18,2,1000
YoutubeCoverage,EfficientBFS,7.0,ub2,d,6,7,0.7960038185119629,18,2,1000
YoutubeCoverage,Efficient,8.0,ub0,d,24832,0,10000.009665489197,20,2,1000
YoutubeCoverage,EfficientBFS,8.0,ub2,d,8,9,1.5616214275360107,20,2,1000
YoutubeCoverage,Efficient,9.0,ub0,d,21383,0,10000.07566666603,22,2,1000
YoutubeCoverage,EfficientBFS,9.0,ub2,d,10,11,2.4440178871154785,22,2,1000
YoutubeCoverage,Efficient,10.0,ub0,d,9359,0,10000.275578737259,24,2,1000
YoutubeCoverage,EfficientBFS,10.0,ub2,d,5,7,0.557687520980835,24,2,1000
YoutubeCoverage,Efficient,11.0,ub0,d,8624,0,10000.13504242897,26,2,1000
YoutubeCoverage,EfficientBFS,11.0,ub2,d,7,9,2.192345380783081,26,2,1000
YoutubeCoverage,Efficient,12.0,ub0,d,9255,0,10000.152012109756,27,2,1000
YoutubeCoverage,EfficientBFS,12.0,ub2,d,10,11,4.097355127334595,27,2,1000
YoutubeCoverage,Efficient,13.0,ub0,d,9206,0,10000.154255390167,29,2,1000
YoutubeCoverage,EfficientBFS,13.0,ub2,d,90,141,85.26907086372375,28,2,1000
YoutubeCoverage,Efficient,14.0,ub0,d,9319,0,10000.122122526169,30,2,1000
YoutubeCoverage,EfficientBFS,14.0,ub2,d,11,13,6.135154962539673,30,2,1000
YoutubeCoverage,EfficientBFS,15.0,ub2,d,11,13,6.17871356010437,32,2,1000
