Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,traditional,True,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.54391622543335,1,1,8
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.193861722946167,1,1,8
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.80322766304016,1,1,8
adult,111,0,EfficientBFS,density_gap,False,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.796533346176147,1,1,8
adult,111,0,EfficientBFS,density_gap,True,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.487351179122925,1,1,8
adult,111,0,EfficientBFS,probing,False,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.734496593475342,1,1,8
adult,111,0,EfficientBFS,probing,True,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.84703540802002,1,1,8
adult,111,0,EfficientBFS,traditional,False,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.449049949645996,1,1,8
adult,111,0,EfficientBFS,traditional,True,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.55609917640686,1,1,8
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,17.815625429153442,1,1,8
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,18.094741106033325,1,1,8
adult,111,0,EfficientBFS,density_gap,False,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.894286632537842,1,1,9
adult,111,0,EfficientBFS,density_gap,True,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,19.0166437625885,1,1,9
adult,111,0,EfficientBFS,probing,False,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.859285831451416,1,1,9
adult,111,0,EfficientBFS,probing,True,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.88563561439514,1,1,9
adult,111,0,EfficientBFS,traditional,False,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.853176832199097,1,1,9
adult,111,0,EfficientBFS,traditional,True,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.65105700492859,1,1,9
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.737867832183838,1,1,9
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,18.723853826522827,1,1,9
adult,111,0,EfficientBFS,density_gap,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.2501277923584,1,1,9
adult,111,0,EfficientBFS,density_gap,True,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,19.813467741012573,1,1,9
adult,111,0,EfficientBFS,probing,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.135323762893677,1,1,9
adult,111,0,EfficientBFS,probing,True,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,19.295230865478516,1,1,9
adult,111,0,EfficientBFS,traditional,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.64277696609497,1,1,9
adult,111,0,EfficientBFS,traditional,True,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,19.09338879585266,1,1,9
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,17.978620529174805,1,1,9
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,18.929369688034058,1,1,9
adult,111,0,EfficientBFS,density_gap,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.939029216766357,1,1,10
adult,111,0,EfficientBFS,density_gap,True,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.572627544403076,1,1,10
adult,111,0,EfficientBFS,probing,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.892076015472412,1,1,10
adult,111,0,EfficientBFS,probing,True,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.795929431915283,1,1,10
adult,111,0,EfficientBFS,traditional,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,19.389373779296875,1,1,10
adult,111,0,EfficientBFS,traditional,True,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,19.26375985145569,1,1,10
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,18.47933077812195,1,1,10
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,19.712104082107544,1,1,10
adult,111,0,EfficientBFS,density_gap,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,19.193931579589844,1,1,10
adult,111,0,EfficientBFS,density_gap,True,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.954727172851562,1,1,10
adult,111,0,EfficientBFS,probing,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.682595252990723,1,1,10
adult,111,0,EfficientBFS,probing,True,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,19.022032976150513,1,1,10
adult,111,0,EfficientBFS,traditional,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,19.061007022857666,1,1,10
adult,111,0,EfficientBFS,traditional,True,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,18.388768434524536,1,1,10
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,19.059520959854126,1,1,10
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,19.514031171798706,1,1,10
adult,111,0,EfficientBFS,density_gap,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.837424993515015,1,1,10
adult,111,0,EfficientBFS,density_gap,True,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,19.2155978679657,1,1,10
adult,111,0,EfficientBFS,probing,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,19.290452241897583,1,1,10
adult,111,0,EfficientBFS,probing,True,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.802565574645996,1,1,10
adult,111,0,EfficientBFS,traditional,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,19.438343048095703,1,1,10
adult,111,0,EfficientBFS,traditional,True,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.8080415725708,1,1,10
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.82589054107666,1,1,10
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,18.98482847213745,1,1,10
adult,111,0,EfficientBFS,density_gap,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.677839279174805,1,1,11
adult,111,0,EfficientBFS,density_gap,True,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.647260427474976,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.134798049926758,1,1,11
adult,111,0,EfficientBFS,probing,True,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.456453323364258,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.148704767227173,1,1,11
adult,111,0,EfficientBFS,traditional,True,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.609939336776733,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,20.368151426315308,1,1,11
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.884756803512573,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.65981388092041,1,1,11
adult,111,0,EfficientBFS,density_gap,True,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.223949670791626,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.138612031936646,1,1,11
adult,111,0,EfficientBFS,probing,True,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.242072582244873,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.39556884765625,1,1,11
adult,111,0,EfficientBFS,traditional,True,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.0873544216156,1,1,11
